B2T_L
  CO_(40.0,-2.25)_3.0, 3C_(-2.25,20.0)_7.0, 1C_(82.25,21.0)_21.0, HP_00:00
  CO_(20.0,-2.25)_4.0, 3C_(-2.25,33.3)_5.0, 1C_(82.25,20.0)_20.0, HP_00:00
  CO_(70.0,-2.25)_1.0, 3C_(-2.25,0.0)_10.0, 1C_(82.25,10.0)_10.0, HP_00:00
  CO_(60.0,-2.25)_2.0, 3C_(-2.25,0.0)_10.0, 1C_(82.25,20.0)_20.0, HP_00:00
  CO_(50.0,-2.25)_2.5, 3C_(-2.25,13.3)_8.0, 1C_(82.25,20.0)_20.0, HP_00:00
  CO_(40.0,-2.25)_3.0, 3C_(-2.25,13.3)_8.0, 1C_(82.25,24.0)_24.0, HP_00:00
  CO_(30.0,-2.25)_3.5, 3C_(-2.25,20.0)_7.0, 1C_(82.25,24.5)_24.5, HP_00:00
  CO_(20.0,-2.25)_4.0, 3C_(-2.25,26.7)_6.0, 1C_(82.25,24.0)_24.0, HP_00:00
  CO_(20.0,-2.25)_4.0, 3C_(-2.25,13.3)_8.0, 1C_(82.25,32.0)_32.0, HP_00:00
  CO_(10.0,-2.25)_4.5, 3C_(-2.25,26.7)_6.0, 1C_(82.25,27.0)_27.0, HP_00:00
  CO_(-2.25,-2.25)_5.0, 3C_(-2.25,26.7)_6.0, 1C_(82.25,30.0)_30.0, HP_00:00
  CO_(-2.25,-2.25)_5.0, 3C_(-2.25,20.0)_7.0, 1C_(82.25,35.0)_35.0, HP_00:00
  CO_(-2.25,10.0)_6.0, 3C_(-2.25,33.3)_5.0, 1C_(82.25,30.0)_30.0, HP_00:00
  CO_(-2.25,20.0)_7.0, 3C_(-2.25,33.3)_5.0, 1C_(82.25,35.0)_35.0, HP_00:00
  CO_(-2.25,30.0)_8.0, 3C_(-2.25,40.0)_4.0, 1C_(82.25,32.0)_32.0, HP_00:00
B2T_R
  CO_(40.0,-2.25)_3.0, 3C_(82.25,20.0)_7.0, 1C_(-2.25,21.0)_21.0, HP_00:00
  CO_(60.0,-2.25)_4.0, 3C_(82.25,33.3)_5.0, 1C_(-2.25,20.0)_20.0, HP_00:00
  CO_(10.0,-2.25)_1.0, 3C_(82.25,0.0)_10.0, 1C_(-2.25,10.0)_10.0, HP_00:00
  CO_(20.0,-2.25)_2.0, 3C_(82.25,0.0)_10.0, 1C_(-2.25,20.0)_20.0, HP_00:00
  CO_(30.0,-2.25)_2.5, 3C_(82.25,13.3)_8.0, 1C_(-2.25,20.0)_20.0, HP_00:00
  CO_(40.0,-2.25)_3.0, 3C_(82.25,13.3)_8.0, 1C_(-2.25,24.0)_24.0, HP_00:00
  CO_(50.0,-2.25)_3.5, 3C_(82.25,20.0)_7.0, 1C_(-2.25,24.5)_24.5, HP_00:00
  CO_(60.0,-2.25)_4.0, 3C_(82.25,26.7)_6.0, 1C_(-2.25,24.0)_24.0, HP_00:00
  CO_(60.0,-2.25)_4.0, 3C_(82.25,13.3)_8.0, 1C_(-2.25,32.0)_32.0, HP_00:00
  CO_(70.0,-2.25)_4.5, 3C_(82.25,26.7)_6.0, 1C_(-2.25,27.0)_27.0, HP_00:00
  CO_(82.25,-2.25)_5.0, 3C_(82.25,26.7)_6.0, 1C_(-2.25,30.0)_30.0, HP_00:00
  CO_(82.25,-2.25)_5.0, 3C_(82.25,20.0)_7.0, 1C_(-2.25,35.0)_35.0, HP_00:00
  CO_(82.25,10.0)_6.0, 3C_(82.25,33.3)_5.0, 1C_(-2.25,30.0)_30.0, HP_00:00
  CO_(82.25,20.0)_7.0, 3C_(82.25,33.3)_5.0, 1C_(-2.25,35.0)_35.0, HP_00:00
